strategy_id,total_return,cagr,max_drawdown,sharpe,win_rate,quarters,filter,rank,top
"ev5_me15",2320.6,26.6,35.9,1.17,75,55,"ev_ebit > 0 AND ev_ebit < 5 AND margem_ebit > 0.15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev5_me15_t20",2435.9,27.1,27.0,1.24,76,55,"ev_ebit > 0 AND ev_ebit < 5 AND margem_ebit > 0.15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev8_me20",1454.2,22.5,39.6,1.02,73,55,"ev_ebit > 0 AND ev_ebit < 8 AND margem_ebit > 0.2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev8_me20_t20",998.7,19.4,36.9,0.92,73,55,"ev_ebit > 0 AND ev_ebit < 8 AND margem_ebit > 0.2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ps1_ml10",1713.3,23.9,40.0,0.97,67,55,"price_to_sales > 0 AND price_to_sales < 1 AND margem_liquida > 0.1 AND avg_daily_liquidity > 1e6","price_to_sales ASC",10
"ps1_ml10_t20",1374.7,22.1,40.3,0.95,64,55,"price_to_sales > 0 AND price_to_sales < 1 AND margem_liquida > 0.1 AND avg_daily_liquidity > 1e6","price_to_sales ASC",20
"ps1_ml15",1807.0,24.4,43.0,1.02,71,55,"price_to_sales > 0 AND price_to_sales < 1 AND margem_liquida > 0.15 AND avg_daily_liquidity > 1e6","price_to_sales ASC",10
"ps1_ml15_t20",1349.0,21.9,40.3,0.97,67,55,"price_to_sales > 0 AND price_to_sales < 1 AND margem_liquida > 0.15 AND avg_daily_liquidity > 1e6","price_to_sales ASC",20
"ps05_ml10",1983.7,25.2,38.5,1.02,65,55,"price_to_sales > 0 AND price_to_sales < 0.5 AND margem_liquida > 0.1 AND avg_daily_liquidity > 1e6","price_to_sales ASC",10
"ps05_ml10_t20",1056.2,19.9,40.9,0.84,67,55,"price_to_sales > 0 AND price_to_sales < 0.5 AND margem_liquida > 0.1 AND avg_daily_liquidity > 1e6","price_to_sales ASC",20
"ps2_ml10",1897.4,24.8,40.0,1.01,69,55,"price_to_sales > 0 AND price_to_sales < 2 AND margem_liquida > 0.1 AND avg_daily_liquidity > 1e6","price_to_sales ASC",10
"ps2_ml10_t20",1580.8,23.2,40.5,1.00,69,55,"price_to_sales > 0 AND price_to_sales < 2 AND margem_liquida > 0.1 AND avg_daily_liquidity > 1e6","price_to_sales ASC",20
"ps1_mb30",893.1,18.5,52.4,0.69,64,55,"price_to_sales > 0 AND price_to_sales < 1 AND margem_bruta > 0.3 AND avg_daily_liquidity > 1e6","price_to_sales ASC",10
"ps1_mb30_t20",885.2,18.5,47.9,0.72,62,55,"price_to_sales > 0 AND price_to_sales < 1 AND margem_bruta > 0.3 AND avg_daily_liquidity > 1e6","price_to_sales ASC",20
"ps1_me15",2034.5,25.4,37.1,0.93,69,55,"price_to_sales > 0 AND price_to_sales < 1 AND margem_ebit > 0.15 AND avg_daily_liquidity > 1e6","price_to_sales ASC",10
"ps1_me15_t20",1563.0,23.2,41.3,0.93,67,55,"price_to_sales > 0 AND price_to_sales < 1 AND margem_ebit > 0.15 AND avg_daily_liquidity > 1e6","price_to_sales ASC",20
"ev10_roe10",2357.8,26.8,36.9,1.16,73,55,"ev_ebit > 0 AND ev_ebit < 10 AND roe > 0.1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev10_roe10_t20",1538.0,23.0,35.1,1.04,73,55,"ev_ebit > 0 AND ev_ebit < 10 AND roe > 0.1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev15_roe10",2259.9,26.4,36.9,1.15,73,55,"ev_ebit > 0 AND ev_ebit < 15 AND roe > 0.1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev15_roe10_t20",1288.4,21.5,34.8,1.00,73,55,"ev_ebit > 0 AND ev_ebit < 15 AND roe > 0.1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev8_roe15",2051.5,25.5,41.9,1.13,71,55,"ev_ebit > 0 AND ev_ebit < 8 AND roe > 0.15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev8_roe15_t20",1347.1,21.9,32.8,1.01,73,55,"ev_ebit > 0 AND ev_ebit < 8 AND roe > 0.15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev5_roe20",2846.4,28.5,29.5,1.32,78,55,"ev_ebit > 0 AND ev_ebit < 5 AND roe > 0.2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev5_roe20_t20",2620.2,27.7,27.0,1.30,78,55,"ev_ebit > 0 AND ev_ebit < 5 AND roe > 0.2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev10_roe15_rankroe",1336.1,21.8,41.9,0.97,75,55,"ev_ebit > 0 AND ev_ebit < 10 AND roe > 0.15 AND avg_daily_liquidity > 1e6","roe DESC",10
"ev10_roe15_rankroe_t20",1227.8,21.1,33.5,1.01,69,55,"ev_ebit > 0 AND ev_ebit < 10 AND roe > 0.15 AND avg_daily_liquidity > 1e6","roe DESC",20
"pl10_roe10",1800.5,24.4,38.9,0.99,62,55,"pl_ratio > 0 AND pl_ratio < 10 AND roe > 0.1 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl10_roe10_t20",1625.7,23.5,38.7,1.03,71,55,"pl_ratio > 0 AND pl_ratio < 10 AND roe > 0.1 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl10_roe15",1811.5,24.4,45.4,1.03,78,55,"pl_ratio > 0 AND pl_ratio < 10 AND roe > 0.15 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl10_roe15_t20",1361.1,22.0,38.7,1.02,71,55,"pl_ratio > 0 AND pl_ratio < 10 AND roe > 0.15 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl5_roe15",1634.4,23.5,43.7,1.03,76,55,"pl_ratio > 0 AND pl_ratio < 5 AND roe > 0.15 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl5_roe15_t20",1720.9,24.0,37.1,1.04,73,55,"pl_ratio > 0 AND pl_ratio < 5 AND roe > 0.15 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl15_roe20",1482.0,22.7,43.3,1.00,75,55,"pl_ratio > 0 AND pl_ratio < 15 AND roe > 0.2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl15_roe20_t20",969.5,19.2,38.3,0.93,71,55,"pl_ratio > 0 AND pl_ratio < 15 AND roe > 0.2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl15_roe25",1307.6,21.6,43.3,1.00,73,55,"pl_ratio > 0 AND pl_ratio < 15 AND roe > 0.25 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
