strategy_id,category,total_return,cagr,max_drawdown,sharpe,win_rate,alpha_rate,quarters,filter,rank,top
"pl_lt5_t15","1.value_pl",1752.17,23.65,41.12,1.002,67.3,74.5,55,"pl_ratio > 0 AND pl_ratio < 5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",15
"pl_lt5_t20","1.value_pl",1598.44,22.87,37.88,0.972,69.1,67.3,55,"pl_ratio > 0 AND pl_ratio < 5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_lt5_t30","1.value_pl",2176.54,25.51,29.92,1.136,69.1,72.7,55,"pl_ratio > 0 AND pl_ratio < 5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",30
"pl_lt6_t5","1.value_pl",1180.48,20.37,37.59,0.875,67.3,60.0,55,"pl_ratio > 0 AND pl_ratio < 6 AND avg_daily_liquidity > 1e6","pl_ratio ASC",5
"pl_lt6_t10","1.value_pl",975.13,18.85,37.62,0.849,63.6,61.8,55,"pl_ratio > 0 AND pl_ratio < 6 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_lt6_t15","1.value_pl",1719.81,23.49,41.12,0.994,69.1,74.5,55,"pl_ratio > 0 AND pl_ratio < 6 AND avg_daily_liquidity > 1e6","pl_ratio ASC",15
"pl_lt6_t20","1.value_pl",1571.56,22.73,40.83,0.961,69.1,67.3,55,"pl_ratio > 0 AND pl_ratio < 6 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_lt6_t30","1.value_pl",1776.32,23.76,37.95,1.043,69.1,67.3,55,"pl_ratio > 0 AND pl_ratio < 6 AND avg_daily_liquidity > 1e6","pl_ratio ASC",30
"pl_lt7_t5","1.value_pl",1180.48,20.37,37.59,0.875,67.3,60.0,55,"pl_ratio > 0 AND pl_ratio < 7 AND avg_daily_liquidity > 1e6","pl_ratio ASC",5
"pl_lt7_t10","1.value_pl",975.13,18.85,37.62,0.849,63.6,61.8,55,"pl_ratio > 0 AND pl_ratio < 7 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_lt7_t15","1.value_pl",1682.22,23.30,41.12,0.985,69.1,74.5,55,"pl_ratio > 0 AND pl_ratio < 7 AND avg_daily_liquidity > 1e6","pl_ratio ASC",15
"pl_lt7_t20","1.value_pl",1581.23,22.78,40.83,0.962,69.1,69.1,55,"pl_ratio > 0 AND pl_ratio < 7 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_lt7_t30","1.value_pl",1583.08,22.79,37.95,1.011,67.3,72.7,55,"pl_ratio > 0 AND pl_ratio < 7 AND avg_daily_liquidity > 1e6","pl_ratio ASC",30
"pl_lt8_t5","1.value_pl",1180.48,20.37,37.59,0.875,67.3,60.0,55,"pl_ratio > 0 AND pl_ratio < 8 AND avg_daily_liquidity > 1e6","pl_ratio ASC",5
"pl_lt8_t10","1.value_pl",975.13,18.85,37.62,0.849,63.6,61.8,55,"pl_ratio > 0 AND pl_ratio < 8 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_lt8_t15","1.value_pl",1676.90,23.27,41.12,0.984,69.1,74.5,55,"pl_ratio > 0 AND pl_ratio < 8 AND avg_daily_liquidity > 1e6","pl_ratio ASC",15
"pl_lt8_t20","1.value_pl",1520.19,22.45,40.83,0.949,69.1,69.1,55,"pl_ratio > 0 AND pl_ratio < 8 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_lt8_t30","1.value_pl",1587.29,22.81,39.44,1.006,67.3,72.7,55,"pl_ratio > 0 AND pl_ratio < 8 AND avg_daily_liquidity > 1e6","pl_ratio ASC",30
"pl_lt10_t5","1.value_pl",1180.48,20.37,37.59,0.875,67.3,60.0,55,"pl_ratio > 0 AND pl_ratio < 10 AND avg_daily_liquidity > 1e6","pl_ratio ASC",5
"pl_lt10_t10","1.value_pl",975.13,18.85,37.62,0.849,63.6,61.8,55,"pl_ratio > 0 AND pl_ratio < 10 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_lt10_t15","1.value_pl",1676.90,23.27,41.12,0.984,69.1,74.5,55,"pl_ratio > 0 AND pl_ratio < 10 AND avg_daily_liquidity > 1e6","pl_ratio ASC",15
"pl_lt10_t20","1.value_pl",1615.73,22.96,40.83,0.960,69.1,69.1,55,"pl_ratio > 0 AND pl_ratio < 10 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_lt10_t30","1.value_pl",1479.24,22.22,39.64,0.987,69.1,72.7,55,"pl_ratio > 0 AND pl_ratio < 10 AND avg_daily_liquidity > 1e6","pl_ratio ASC",30
"pl_lt12_t5","1.value_pl",1180.48,20.37,37.59,0.875,67.3,60.0,55,"pl_ratio > 0 AND pl_ratio < 12 AND avg_daily_liquidity > 1e6","pl_ratio ASC",5
"pl_lt12_t10","1.value_pl",975.13,18.85,37.62,0.849,63.6,61.8,55,"pl_ratio > 0 AND pl_ratio < 12 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_lt12_t15","1.value_pl",1676.90,23.27,41.12,0.984,69.1,74.5,55,"pl_ratio > 0 AND pl_ratio < 12 AND avg_daily_liquidity > 1e6","pl_ratio ASC",15
"pl_lt12_t20","1.value_pl",1621.04,22.99,40.83,0.961,69.1,69.1,55,"pl_ratio > 0 AND pl_ratio < 12 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_lt12_t30","1.value_pl",1409.28,21.82,39.64,0.967,69.1,70.9,55,"pl_ratio > 0 AND pl_ratio < 12 AND avg_daily_liquidity > 1e6","pl_ratio ASC",30
"pl_lt15_t5","1.value_pl",1180.48,20.37,37.59,0.875,67.3,60.0,55,"pl_ratio > 0 AND pl_ratio < 15 AND avg_daily_liquidity > 1e6","pl_ratio ASC",5
"pl_lt15_t10","1.value_pl",975.13,18.85,37.62,0.849,63.6,61.8,55,"pl_ratio > 0 AND pl_ratio < 15 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_lt15_t15","1.value_pl",1676.90,23.27,41.12,0.984,69.1,74.5,55,"pl_ratio > 0 AND pl_ratio < 15 AND avg_daily_liquidity > 1e6","pl_ratio ASC",15
"pl_lt15_t20","1.value_pl",1621.04,22.99,40.83,0.961,69.1,69.1,55,"pl_ratio > 0 AND pl_ratio < 15 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_lt15_t30","1.value_pl",1396.06,21.74,39.64,0.961,69.1,70.9,55,"pl_ratio > 0 AND pl_ratio < 15 AND avg_daily_liquidity > 1e6","pl_ratio ASC",30
"pl_lt20_t5","1.value_pl",1180.48,20.37,37.59,0.875,67.3,60.0,55,"pl_ratio > 0 AND pl_ratio < 20 AND avg_daily_liquidity > 1e6","pl_ratio ASC",5
"pl_lt20_t10","1.value_pl",975.13,18.85,37.62,0.849,63.6,61.8,55,"pl_ratio > 0 AND pl_ratio < 20 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_lt20_t15","1.value_pl",1676.90,23.27,41.12,0.984,69.1,74.5,55,"pl_ratio > 0 AND pl_ratio < 20 AND avg_daily_liquidity > 1e6","pl_ratio ASC",15
"pl_lt20_t20","1.value_pl",1621.04,22.99,40.83,0.961,69.1,69.1,55,"pl_ratio > 0 AND pl_ratio < 20 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_lt20_t30","1.value_pl",1396.99,21.75,39.64,0.955,69.1,70.9,55,"pl_ratio > 0 AND pl_ratio < 20 AND avg_daily_liquidity > 1e6","pl_ratio ASC",30
"ev_lt1.5_t5","1.value_ev",3701.93,30.28,23.48,1.251,65.5,61.8,55,"ev_ebit > 0 AND ev_ebit < 1.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt1.5_t10","1.value_ev",3162.11,28.84,23.48,1.404,72.7,63.6,55,"ev_ebit > 0 AND ev_ebit < 1.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt1.5_t15","1.value_ev",2901.53,28.06,23.48,1.419,74.5,65.5,55,"ev_ebit > 0 AND ev_ebit < 1.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt1.5_t20","1.value_ev",3350.17,29.37,23.48,1.455,74.5,65.5,55,"ev_ebit > 0 AND ev_ebit < 1.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt1.5_t30","1.value_ev",3161.70,28.84,23.48,1.469,76.4,63.6,55,"ev_ebit > 0 AND ev_ebit < 1.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt2_t5","1.value_ev",4339.93,31.76,25.84,1.310,67.3,60.0,55,"ev_ebit > 0 AND ev_ebit < 2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt2_t10","1.value_ev",3967.95,30.93,25.64,1.468,76.4,67.3,55,"ev_ebit > 0 AND ev_ebit < 2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt2_t15","1.value_ev",3265.17,29.13,24.84,1.417,80.0,67.3,55,"ev_ebit > 0 AND ev_ebit < 2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
